Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.4528;130.96329;35.1;17.649;0.01
-12.45298;130.9635;35.4;17.679;0.0069444
-12.4534;130.964005;35.9;17.751;0.0013889
-12.45382;130.96451;36;17.823;-0.013043
-12.45406;130.96485;35.4;17.869;-0.0072289
-12.45455;130.96543;34.8;17.952;0.0011905
-12.45504;130.96601;34.9;18.036;-0.017857
-12.45521;130.96621;34.4;18.064;-0.017647
-12.45548;130.96658;33.5;18.115;0.0039474
-12.455925;130.96711;33.8;18.191;-0.0039474
-12.45637;130.96764;33.5;18.267;-0.0025
-12.45682;130.96822;33.3;18.347;-0.0030303
-12.457205;130.968685;33.1;18.413;0.0059701
-12.45759;130.96915;33.5;18.48;0.010526
-12.4577;130.96929;33.7;18.499;0.0054545
-12.45802;130.96968;34;18.554;0
-12.45811;130.96979;34;18.57;0.0011628
-12.45861;130.97039;34.1;18.656;0.012308
-12.458985;130.97085;34.9;18.721;0.0092308
-12.45936;130.97131;35.5;18.786;0.005
-12.45947;130.97146;35.6;18.806;0.0015385
-12.45985;130.97191;35.7;18.871;-0.0051282
-12.46032;130.97244;35.3;18.949;-0.0090909
-12.46074;130.97287;34.7;19.015;-0.016667
-12.46085;130.97299;34.4;19.033;-0.0048193
-12.4614;130.9735;34;19.116;0
-12.4615;130.97359;34;19.13;-0.010606
-12.46194;130.97399;33.3;19.196;-0.011667
-12.46236;130.97434;32.6;19.256;0
-12.46252;130.97451;32.6;19.282;0.0032258
-12.46271;130.97472;32.7;19.313;0.01
-12.46288;130.97494;33;19.343;-0.0058824
-12.46296;130.97507;32.9;19.36;-0.011765
-12.46304;130.9752;32.7;19.377;-0.011765
-12.46311;130.97534;32.5;19.394;-0.013333
-12.46322;130.97559;32.1;19.424;0.0083333
-12.46333;130.9759;32.4;19.46;0.0096774
-12.46343;130.97617;32.7;19.491;-0.0023529
-12.46368;130.97691;32.5;19.576;-0.0125
-12.46377;130.97711;32.2;19.6;-0.0054054
-12.46394;130.9774;32;19.637;0
-12.46406;130.97757;32;19.66;-0.02
-12.46421;130.97775;31.5;19.685;-0.02963
-12.46438;130.97792;30.7;19.712;-0.021739
-12.46455;130.97805;30.2;19.735;-0.023077
-12.46474;130.97819;29.6;19.761;-0.010345
-12.4652;130.97844;29;19.819;0.0041096
-12.465785;130.978725;29.3;19.892;0.0027778
-12.46637;130.97901;29.5;19.964;0.0096774
-12.4666;130.97917;29.8;19.995;0.012903
